,street,city,state,zipcode,price,bed,bath,sqft,walkscore,transitscore,bikescore,competitivescore,price_per_sqft
634,1891 Mccandless Dr,Milpitas,CA,95035,1249999,3.00,3.50,1941.00,49,57.0,73.0,73.0,644.0
635,352 Tyrella Ave,Mountain view,CA,94043,3400000,11.00,12.00,3651.00,60,39.0,95.0,0.0,931.25
636,15659 Linda Ave,Los gatos,CA,95032,2650000,4.00,3.50,2242.00,51,0.0,67.0,84.0,1181.98
637,5492 Rudy Dr,San jose,CA,95124,1649000,4.00,2.00,1598.00,56,26.0,50.0,88.0,1031.91
638,8282 Murray Ave #113,Gilroy,CA,95020,252900,2.00,1.50,1131.00,50,0.0,71.0,0.0,223.61
640,6187 Country Club Pkwy,San jose,CA,95138,1688800,4.00,2.50,2094.00,2,0.0,34.0,85.0,806.49
641,844 Poplar Ave,Sunnyvale,CA,94086,2250000,4.00,2.00,1996.00,54,40.0,73.0,84.0,1127.25
642,1604 Glenfield Dr,San jose,CA,95125,1550000,4.00,2.00,1783.00,49,30.0,55.0,88.0,869.32
643,6167 Snell Ave,San jose,CA,95123,1199000,4.00,2.00,1495.00,65,33.0,55.0,87.0,802.01
644,400 Ortega Ave #107,Mountain view,CA,94040,898000,3.00,2.00,1278.00,87,48.0,88.0,63.0,702.66
645,694 Lakewood Dr,Sunnyvale,CA,94089,1198999,3.00,2.00,1000.00,39,39.0,78.0,87.0,1199.0
646,754 Spindrift #754,San jose,CA,95134,285000,3.00,2.00,1500.00,32,50.0,78.0,0.0,190.0
647,5932 Mabie Ct,San jose,CA,95123,1199000,4.00,2.00,1491.00,56,25.0,76.0,89.0,804.16
648,5933 Sunstone Dr #414,San jose,CA,95123,969000,4.00,2.00,1833.00,47,49.0,64.0,87.0,528.64
649,434 Gross St,Milpitas,CA,95035,1295000,6.00,3.00,1925.00,36,37.0,58.0,91.0,672.73
650,3193 Simberlan Dr,San jose,CA,95148,1475000,5.00,3.00,2253.00,28,25.0,41.0,85.0,654.68
651,7571 Hanna St,Gilroy,CA,95020,1200000,3.00,2.00,2373.00,85,0.0,78.0,79.0,505.69
652,1198 Reed St,Santa clara,CA,95050,1099000,3.00,2.00,1218.00,60,46.0,62.0,80.0,902.3
653,16718 Audrey Dr,Morgan hill,CA,95037,669000,2.00,2.00,945.00,48,25.0,59.0,86.0,707.94
654,773 Regent Park Dr,San jose,CA,95123,1299000,3.00,2.00,1340.00,61,29.0,75.0,86.0,969.4
656,166 Sweetberry Ct,San jose,CA,95136,1200000,3.00,2.00,1983.00,50,47.0,69.0,87.0,605.14
657,3854 Cas Dr,San jose,CA,95111,879000,4.00,1.50,1113.00,66,47.0,73.0,78.0,789.76
658,1662 Canna Ln,San jose,CA,95124,1548800,3.00,2.00,1540.00,45,24.0,43.0,88.0,1005.71
659,3617 Wally Place Way,San jose,CA,95121,1108000,5.00,3.00,1936.00,35,33.0,51.0,87.0,572.31
660,879 Pinewood Dr,San jose,CA,95129,1680000,4.00,2.00,1666.00,51,39.0,68.0,89.0,1008.4
661,855 Cedar Ave,Sunnyvale,CA,94086,1299000,3.00,1.00,1073.00,56,40.0,78.0,84.0,1210.62
662,1729 Laine Ave,Santa clara,CA,95051,1399000,4.00,2.00,1576.00,77,44.0,81.0,80.0,887.69
