,street,city,state,zipcode,price,bed,bath,sqft,walkscore,transitscore,bikescore,competitivescore,price_per_sqft
785,4090 Woodstock Rd,Hayward,CA,94542,1799000,4.00,2.50,2962.00,5,18.0,17.0,87.0,607.36
786,921 Longwood Ave,Hayward,CA,94541,749000,3.00,1.00,1333.00,61,46.0,52.0,89.0,561.89
787,21651 Gail Dr,Castro valley,CA,94546,972500,3.00,2.00,1681.00,50,42.0,32.0,93.0,578.52
788,24623 Pontiac St,Hayward,CA,94544,685000,3.00,1.00,1093.00,72,51.0,64.0,91.0,626.72
789,21234 Times Ave,Hayward,CA,94541,698000,3.00,1.00,1014.00,48,40.0,57.0,89.0,688.36
790,644 Leighton St,Hayward,CA,94544,695000,3.00,1.00,1123.00,78,57.0,63.0,91.0,618.88
791,1682 East Ave,Hayward,CA,94541,675000,2.00,1.00,837.00,35,39.0,26.0,89.0,806.45
792,182 Goodwin St,Hayward,CA,94544,799000,3.00,1.00,1086.00,48,37.0,56.0,90.0,735.73
793,1216 Sandy Bridges Ln,Hayward,CA,94541,720000,3.00,2.50,1532.00,58,38.0,37.0,91.0,469.97
794,295 Lansing Way,Hayward,CA,94541,499000,2.00,2.00,1019.00,56,42.0,63.0,89.0,489.7
795,1156 Huron Ln,Hayward,CA,94545,865000,3.00,2.00,1301.00,36,40.0,63.0,92.0,664.87
796,754 Lilly Ave,Hayward,CA,94544,730000,3.00,1.00,1052.00,74,56.0,61.0,81.0,693.92
797,1506 Rieger Ave,Hayward,CA,94544,864999,3.00,2.00,1227.00,62,39.0,68.0,88.0,704.97
798,22851 2nd St,Hayward,CA,94541,679000,2.00,1.00,1258.00,92,58.0,39.0,88.0,539.75
799,26472 Hickory Ave,Hayward,CA,94544,699950,3.00,1.00,1034.00,50,34.0,58.0,88.0,676.93
800,27666 Havana Ave,Hayward,CA,94544,699000,3.00,2.00,1000.00,81,38.0,65.0,91.0,699.0
801,182 Carrick Cir,Hayward,CA,94542,1348888,4.00,3.00,2818.00,1,18.0,8.0,83.0,478.67
802,26258 Parkside Dr,Hayward,CA,94542,649950,2.00,1.00,672.00,39,30.0,26.0,90.0,967.19
803,1463 Mantilla Ave,Hayward,CA,94544,740000,3.00,2.00,1200.00,73,39.0,67.0,91.0,616.67
804,27453 Coronado Way,Hayward,CA,94545,799000,3.00,2.00,1119.00,62,41.0,73.0,93.0,714.03
805,734 Pinedale Ct,Hayward,CA,94544,797888,4.00,2.00,1453.00,83,59.0,63.0,81.0,549.13
806,22202 Prospect St,Hayward,CA,94541,799000,2.00,2.00,1382.00,86,57.0,39.0,88.0,578.15
807,3170 Saddle Dr,Hayward,CA,94541,818000,3.00,2.00,1488.00,11,29.0,14.0,89.0,549.73
808,1596 E St,Hayward,CA,94541,1190000,3.00,1.50,2022.00,54,46.0,26.0,88.0,588.53
809,27172 Columbia Way,Hayward,CA,94542,988000,3.00,2.50,2247.00,35,25.0,16.0,90.0,439.7
810,715 Heath Ct #388,Hayward,CA,94544,549000,2.00,2.00,906.00,50,43.0,24.0,88.0,605.96
811,29243 Whalebone Way #409,Hayward,CA,94544,259000,2.00,2.00,1908.00,33,45.0,57.0,0.0,135.74
812,143 Poppywood Ct,Hayward,CA,94544,1199000,4.00,2.50,1807.00,48,37.0,57.0,91.0,663.53
813,21062 Gary Dr #107,Hayward,CA,94546,569000,2.00,1.00,941.00,53,39.0,36.0,88.0,604.68
814,22139 Castille Ln #64,Hayward,CA,94541,598000,2.00,2.00,1202.00,83,45.0,44.0,88.0,497.5
815,27511 E 12Th St,Hayward,CA,94544,699000,4.00,2.00,1504.00,61,48.0,61.0,88.0,464.76
816,25143 Del Mar Ave,Hayward,CA,94542,725000,3.00,2.00,1094.00,58,41.0,42.0,81.0,662.71
817,3059 Madsen St,Hayward,CA,94541,775000,3.00,3.00,1446.00,73,58.0,66.0,79.0,535.96
818,25850 Kay Ave #327,Hayward,CA,94545,520000,2.00,2.00,1007.00,41,42.0,65.0,92.0,516.39
819,27105 Belvedere Ct,Hayward,CA,94544,2100000,3.00,4.00,2544.00,43,39.0,59.0,0.0,825.47
820,338 Line St,Hayward,CA,94544,897060,2.00,2.00,1501.00,49,48.0,58.0,88.0,597.64
821,2169 Bridwell Way #104,Hayward,CA,94545,339000,3.00,2.00,1120.00,42,37.0,59.0,0.0,302.68
822,105 Kathy Ct,Union city,CA,94587,949000,3.00,2.00,1248.00,34,0.0,43.0,91.0,760.42
823,21239 Gary Dr #313,Hayward,CA,94546,659950,2.00,2.00,1393.00,59,38.0,30.0,88.0,473.76
824,683 Newbury Ln #277,Hayward,CA,94544,499950,2.00,2.00,906.00,50,45.0,23.0,88.0,551.82
825,22530 3rd St #303,Hayward,CA,94541,659000,3.00,2.00,1470.00,91,54.0,69.0,88.0,448.3
827,387 Warner Ave,Hayward,CA,94544,879000,3.00,2.00,1439.00,67,39.0,52.0,92.0,610.84
828,24981 Muir St,Hayward,CA,94544,650000,2.00,1.00,696.00,46,43.0,57.0,91.0,933.91
829,22836 High St,Hayward,CA,94541,579000,2.00,1.00,755.00,88,56.0,56.0,88.0,766.89
830,3339 Baumberg Ave,Hayward,CA,94541,699888,1.00,1.00,660.00,25,32.0,51.0,90.0,1060.44
831,2745 Colony View Pl,Hayward,CA,94541,1168000,4.00,3.00,1942.00,18,32.0,18.0,89.0,601.44
832,25105 Del Mar Ave,Hayward,CA,94542,1299000,4.00,4.00,2204.00,58,41.0,42.0,81.0,589.38
833,2537 Jacobs St,Hayward,CA,94541,1000000,4.00,3.50,1774.00,41,34.0,35.0,88.0,563.7
834,437 Viebrock Way,Hayward,CA,94544,298000,2.00,2.00,1728.00,33,45.0,57.0,0.0,172.45
835,27479 Bahama Ave,Hayward,CA,94545,849000,4.00,3.00,1281.00,66,39.0,64.0,93.0,662.76
836,926 Cheryl Ann Cir #24,Hayward,CA,94544,569000,2.00,2.00,1060.00,74,38.0,64.0,88.0,536.79
837,353 Baja Rose St,Milpitas,CA,95035,1188800,3.00,3.00,1569.00,55,60.0,76.0,73.0,757.68
838,160 Perry St,Milpitas,CA,95035,1279999,4.00,2.00,1549.00,82,25.0,69.0,85.0,826.34
839,1891 Mccandless Dr,Milpitas,CA,95035,1249999,3.00,3.50,1941.00,49,57.0,73.0,73.0,644.0
840,434 Gross St,Milpitas,CA,95035,1295000,6.00,3.00,1925.00,36,37.0,58.0,91.0,672.73
841,429 Gosser St,Milpitas,CA,95035,1300000,4.00,2.00,1538.00,50,38.0,63.0,91.0,845.25
842,947 Gomes Ln,Milpitas,CA,95035,1495000,3.00,2.50,2166.00,39,29.0,56.0,84.0,690.21
843,122 Edgewater Dr,Milpitas,CA,95035,1988000,5.00,3.00,2697.00,58,37.0,73.0,86.0,737.12
844,800 S Abel St #214,Milpitas,CA,95035,899888,3.00,2.00,1421.00,75,42.0,79.0,73.0,633.28
845,211 Rodrigues Ave,Milpitas,CA,95035,1488888,4.00,3.00,2001.00,81,27.0,69.0,85.0,744.07
846,1625 Lee Way,Milpitas,CA,95035,1098000,3.00,3.00,1622.00,51,57.0,74.0,73.0,676.94
847,1257 Coyote Creek Way,Milpitas,CA,95035,1098000,3.00,3.00,1370.00,22,41.0,65.0,90.0,801.46
848,700 S Abel St #506,Milpitas,CA,95035,799888,2.00,2.00,1259.00,81,39.0,78.0,73.0,635.34
849,104 Sunnyhills Ct,Milpitas,CA,95035,688888,2.00,2.00,924.00,76,39.0,74.0,91.0,745.55
850,440 Dempsey Rd #243,Milpitas,CA,95035,397000,1.00,1.00,676.00,62,26.0,67.0,85.0,587.28
851,1762 Snell Pl,Milpitas,CA,95035,928000,3.00,2.50,1253.00,52,54.0,72.0,73.0,740.62
852,428 Galaxy Ct,Milpitas,CA,95035,1149000,3.00,2.00,1550.00,30,45.0,58.0,85.0,741.29
853,288 S Main St,Milpitas,CA,95035,1368000,3.00,2.00,1550.00,87,38.0,78.0,73.0,882.58
854,263 Baja Rose St,Milpitas,CA,95035,980000,2.00,2.00,1449.00,60,60.0,78.0,73.0,676.33
855,394 GERALD Cir,Milpitas,CA,95035,1495000,4.00,2.50,2295.00,43,29.0,58.0,84.0,651.42
856,1084 N Abbott Ave,Milpitas,CA,95035,560000,2.00,1.00,863.00,26,34.0,56.0,86.0,648.9
857,1860 Snell Pl,Milpitas,CA,95035,888000,3.00,3.00,1253.00,48,53.0,69.0,79.0,708.7
858,295 Rio Verde Pl #2,Milpitas,CA,95035,688000,2.00,1.00,882.00,79,37.0,72.0,85.0,780.05
859,1212 Monte Dr,Milpitas,CA,95035,1499000,3.00,2.50,1990.00,50,34.0,59.0,85.0,753.27
860,393 N Temple Dr,Milpitas,CA,95035,599888,3.00,1.50,1122.00,25,17.0,62.0,80.0,534.66
861,81 Bettencourt Way,Milpitas,CA,95035,970000,3.00,2.00,1359.00,52,54.0,72.0,73.0,713.76
862,1462 Lavender Loop,Milpitas,CA,95035,1088888,3.00,2.50,1997.00,50,60.0,66.0,84.0,545.26
863,1101 S Main St #429,Milpitas,CA,95035,620000,1.00,1.00,768.00,78,52.0,82.0,73.0,807.29
864,341 San Petra Ct #2,Milpitas,CA,95035,649000,2.00,1.00,882.00,84,38.0,74.0,85.0,735.83
865,1178 N Abbott Ave,Milpitas,CA,95035,699000,2.00,2.00,1174.00,27,35.0,69.0,86.0,595.4
867,1952 Terracotta Ct,Milpitas,CA,95035,1480995,3.00,2.50,1979.00,48,59.0,67.0,86.0,748.36
868,1912 Terracotta Ct,Milpitas,CA,95035,1436995,3.00,3.00,1829.00,69,60.0,77.0,86.0,785.67
869,1910 Terracotta Ct,Milpitas,CA,95035,1412995,3.00,2.50,1829.00,69,60.0,77.0,86.0,772.55
870,817 Luz Del Sol Loop,Milpitas,CA,95035,899000,2.00,2.00,1300.00,52,43.0,69.0,85.0,691.54
871,407 Dixon Rd,Milpitas,CA,95035,1385000,4.00,3.00,1605.00,51,37.0,60.0,91.0,862.93
872,1023 N Abbott Ave,Milpitas,CA,95035,695000,2.00,1.00,863.00,25,36.0,58.0,86.0,805.33
873,1635 Starlite Dr,Milpitas,CA,95035,1398888,5.00,2.50,1692.00,35,47.0,60.0,85.0,826.77
874,49002 Cinnamon Fern Cmn #214,Fremont,CA,94539,899888,2.00,2.00,1274.00,60,38.0,71.0,72.0,706.35
875,109 Parc Place Dr,Milpitas,CA,95035,960000,3.00,2.00,1530.00,77,48.0,77.0,73.0,627.45
876,484 Dempsey Rd #186,Milpitas,CA,95035,385000,1.00,1.00,676.00,70,26.0,69.0,85.0,569.53
877,1916 Terracotta Ct,Milpitas,CA,95035,1485995,3.00,3.00,1979.00,69,60.0,77.0,86.0,750.88
